writing	書き込み
him	彼を
boss	ボス
gain	利得
constitute	構成します
procedure	手順
about	約
general	一般的な
frequent	頻出
schedule	スケジュール
grocery	食料品
coal	石炭
wait	待つ
commit	コミット
desert	砂漠
transition	遷移
determine	定めます
urge	衝動
lie	横たわる
squeeze	絞ります
object	オブジェクト
spot	スポット
rule	ルール
poet	詩人
conventional	従来の
agency	代理店
model	モデル
exposure	曝露
portion	部分
belief	信念
manager	マネージャー
positive	ポジティブ
similar	同様の
opponent	相手
predict	予測します
announce	アナウンス
dozen	ダース
water	水
layer	層
arrival	到着
them	それら
bag	バッグ
pass	パス
pain	疼痛
comfort	快適さ
size	サイズ
perceive	気付きます
majority	大多数
thick	厚い
color	色
okay	はい
night	夜
literature	文献
essentially	本来
witness	証人
medicine	薬
draw	ドロー
multiple	複数
ball	玉
earnings	収入
department	部門
trick	騙す
gang	ギャング
terms	条項
aircraft	航空機
literally	文字通り
game	ゲーム
habit	習慣
year	年
whisper	囁き
level	レベル
combine	コンバイン
administrator	管理者
assign	割当
lifetime	一生
legal	法的
preference	優先
personnel	人員
trial	トライアル
hole	穴
strategic	戦略的
wipe	ワイプ
pine	パイン
payment	支払い
begin	ベギン
Soviet	ソ連
form	形
jump	ジャンプ
surely	確かに
cash	現金
precisely	ちょうど
control	コントロール
knee	膝
veteran	ベテラン
onto	へ
ugly	醜い
degree	程度
gradually	徐々に
theory	理論
slave	奴隷
