She's eight years old.	彼女は八つだ。
Tom lived to be 97.	トムは97歳まで生きた。
She had no idea what I said.	彼女には私の言った事がわからなかった。
Frankly speaking, I hate him.	率直に言えば、私は彼が嫌いです。
Close the window.	窓を閉めて。
I can't drink any more.	これ以上は飲めません。
I made my decision.	決めました。
He adores his grandfather.	彼は祖父を慕い尊敬している。
I like tomato soup.	僕はトマトスープが好きだ。
He employed a new maid.	彼は新しいお手伝いを雇った。
This is the very best method.	これが最適な方法だ。
Tom has a heavy German accent.	トムには強いドイツ訛りがある。
I felt very happy.	私はとても幸福に感じた。
He loves traveling.	彼は旅行が大好きだ。
I have no idea who she is.	彼女が誰なのか、私にはさっぱりわからない。
He sat on the bench.	彼はベンチに座った。
She usually gets up early.	彼女は普段早起きだ。
He is a really good worker.	彼は本当によく働く人だ。
Did you come by train?	列車で来たのですか？
He was surprised at the news.	彼はその知らせに驚いた。
Tom has had a bad week.	トムは最悪の一週間を過ごした。
I have a runny nose.	鼻水が出ている。
He can't walk any more.	彼はこれ以上歩けない。
Why is your French so good?	どうしてそんなにフランス語がお上手なんですか？
I have to get a little sleep.	少し眠らなきゃ。
The food's here.	食べ物が届きました。
It was a beautiful sunny day.	美しく晴れわたった日だった。
We may as well wait.	私たちは待った方がよさそうだ。
She's a stubborn woman.	彼女はしたたかな女だ。
Let's rest here.	ここで、休もう。
He played tennis all day long.	彼は一日中テニスをした。
I have fifteen hundred cows.	私は1500頭の牛を飼育している。
There's only one day left.	あと1日しかない。
Take your coat off.	コートを脱いでください。
He disliked school.	彼は学校が嫌いだった。
My bicycle has a flat tire.	ぼくの自転車はパンクしている。
I feel bad.	私は気分が悪い。
Don't worry about it!	気にしないでいいよ。
Beat it.	どっか行け。
The pain has gone.	痛みがなくなりました。
Come soon.	すぐ来て。
I had my pen stolen.	私は、ペンを盗まれた。
Can you drive a car?	車は運転できるの？
You may park here.	ここに駐車してもいいですよ。
I saw Tom hide something.	トムが何かを隠すのが見えた。
He has a car.	彼は車を持っている。
I'd recommend taking a break.	休みを取ることをお薦めします。
Get lost.	どっか行け。
Try again.	もう一回やってみて。
I count on Tom.	トムをあてにしているんだ。
What's going on?	どうなってるの。
The baby is able to walk.	その赤ん坊は歩くことが出来る。
They arrived too soon.	彼らは早く着きすぎた。
I never saw him in jeans.	彼がジーンズをはいているのを見たことがない。
Where do I go next?	私は次にどこへ行けばよいのでしょうか？
He has stopped smoking.	彼はたばこをやめた。
I'll be here.	ここにいるよ。
Tom was anxious to meet you.	トムが会いたがってたよ。
She's had a hard life.	彼女はつらい生活を経験しました。
She's still under age.	彼女はまだ未成年だ。
Show me that list.	そのリストを見せて。
How much is this radio?	このラジオはいくらですか。
The good weather will hold.	良い天気は続くでしょう。
I have a subscription to Time.	ＴＩＭＥを定期購読しています。
He must be over fifty.	５０歳は超えているはずだ。
Tom looked at the photograph.	トムはその写真を見た。
How awful!	ああ恐い！
Tom is a good friend of mine.	トムは私の親友だ。
Tom isn't so tall.	トムはあまり背が高くない。
He is a perfectionist.	彼は完璧主義者だ。
Just try it.	まあ試してごらんよ。
Time is running out.	時間が無くなってきた。
Tom didn't know who it was.	トムはそれが誰だか知らなかった。
My father went fishing.	父は釣りに行った。
She rubbed her eyes.	彼女は目をこすった。
He isn't able to do that.	彼にはそれはすることができない。
We sometimes meet them.	私たちは時々彼らに会う。
The curry was nothing special.	カレーはまあまあでした。
You must give him up for dead.	君は彼を死んだものとしてあきらめなければなりません。
I'm an eleventh grader.	私は高校2年生だ。
I really trust his ability.	彼の能力には全幅の信頼を寄せている。
I heard that Tom kissed Mary.	トムがメアリーにキスをしたらしい。
Let me call you back.	折り返し電話します。
It isn't a major problem.	それは大きな問題ではない。
I think I understand.	分かるような気がする。
I just couldn't say no.	私はただ断ることが出来なかった。
I hate to eat alone.	一人で食事したくない。
Please speak English.	英語で話してください。
Did you get your wish?	望みは叶いましたか。
He began to learn English.	彼は英語を習い始めた。
The rumor's all over town.	うわさは町中に広まった。
I can't go.	私は行けません。
Go away!	離れろ。
Don't worry, I'll help you.	心配しないで、助けるよ。
What time does the play begin?	開演は何時ですか。
Do you like rap?	ラップは好き？
Two adult tickets, please.	大人２枚ください。
He knows this town inside out.	彼はこの町を隅から隅まで知りつくしている。
He is good at cooking.	彼は料理が上手だ。
The television is broken.	テレビは壊れています。
