induction	誘導
inefficient	非効率的な
inexpensive	安価な
inexperience	未経験
infer	推します
inference	推論
inflate	インフレート
influential	影響力のあります
informal	非公式
informative	有益
ingredient	成分
ink	インク
innovative	革新的な
inquire	問い合わせ
insert	インサート
inspect	検査
inspection	検査
inspector	インスペクター
inspiration	霊感
installation	インスト
institute	学院
instruct	指示し
instructor	インストラクター
insufficient	不十分
integral	積分
intently	一心不乱
interactive	対話
interfere	干渉する
intern	インターン
internationally	国際
internet	インターネット
internship	インターンシップ
interpreter	通訳
interrupt	割り込み
intersection	交差点
intonation	イントネーション
introductory	入門
invaluable	貴重な
invention	発明
inventory	在庫
invoice	請求書
irregular	不定期
irrelevant	無関係
irritate	刺激
itinerary	旅程
jam	混雑する
jazz	ジャズ
jeans	ジーンズ
jet	ジェット
jewelry	宝石
jog	ジョグ
journalism	ジャーナリズム
juice	ジュース
junior	ジュニア
junk	ジャンク
keyboard	キーボード
kilogram	キログラム
kilometer	キロメートル
kit	キット
knowledgeable	知識のあります
lab	ラボ
ladder	はしご
lamp	ランプ
landlord	家主
lane	Lane
laptop	ノートパソコン
lately	近頃
laundry	ランドリー
lawn	芝生
layoff	一時解雇する
layout	レイアウト
leak	リーク
lease	リース
lecturer	講師
leisure	余暇
lengthy	長い
letterhead	レターヘッド
librarian	司書
lifeguard	ライフガード
lifestyle	ライフスタイル
lifetime	一生
lighter	ライター
lightweight	軽量
likewise	同様に
liter	リットル
lobby	ロビー
locally	ローカル
locker	ロッカー
logical	論理的
login	ログインする
logo	ロゴ
loudly	大声で
lounge	ラウンジ
loyal	ロイヤル
loyalty	ロイヤリティ
luggage	荷物
luncheon	ランチョン
lunchtime	ランチタイム
ma'am	奥様
machinery	機械
malfunction	故障
mall	モール
managerial	経営者の
mandatory	必須の
manual	マニュアル
mask	マスク
massage	マッサージ
maximize	最大化
meaningful	重要
meantime	その間に
mechanic	メカニック
mechanical	メカニカル
media	メディア
medication	薬
memo	メモ
memorandum	メモ
memorize	暗記
mentor	師匠
merchandise	商品
merchant	商人
merge	マージ
merger	合併
merit	値する
messenger	メッセンジャー
microphone	マイクロフォン
microscope	顕微鏡
microwave	マイクロ波
midnight	真夜中
mild	マイルド
mileage	マイレージ
mineral	ミネラル
mini	ミニ
minimize	最小にします
misidentify	誤認
mislead	誤解
misplace	差し違えます
mister	ミスター
modem	モデム
modification	変形
monument	記念碑
morale	士気
mosquito	蚊
motorcycle	オートバイ
mower	芝刈り機
nail	ネイル
nap	昼寝
nationwide	全国の
neat	すっきり
necessity	必要性
necklace	ネックレス
needy	貧しいです
newsletter	ニュースレター
newsstand	ニューススタンド
noisy	うるさい
nominate	ノミネート
nomination	指名
noon	正午
notify	知らせます
nutrition	栄養
obligate	絶対
oblige	リージュ
obtain	入手します
occupancy	占有
occupant	乗員
occupation	職業
occurrence	発生
o'clock	時
officially	正式に
omit	オミット
ongoing	現在進行中
operational	オペレーショナル
opt	オプト
optimistic	楽観的
optional	オプショナル
orchestra	オーケストラ
organizational	組織
organizer	主催者
orientation	オリエンテーション
outage	停電
outdate	古いです
outdoor	アウトドア
outfit	服
outlet	出口
outlook	見通し
outstanding	未解決の
oval	小判
oven	オーブン
overcharge	オーバーチャージ
overcrowd	混雑さ
overdue	延滞
overhead	オーバーヘッド
overlook	見落とします
overnight	一晩
overpay	余分に払います
oversee	監督
overtime	時間とともに
overview	概要
packet	パケット
pad	パッド
painter	画家
