certify	サーティファイ
chairperson	会長
charitable	慈善の
checkout	チェックアウト
checkup	調べる
cheer	歓声
cheeseburger	チーズバーガー
chef	シェフ
chemistry	化学
chilly	肌寒い
chronic	慢性的
cinema	シネマ
circuit	回路
circulate	循環
circulation	サーキュレーション
circus	サーカス
clap	拍手
clarify	明らかにする
classify	分類
classmate	同級生
cleaner	クリーナー
cleanliness	清潔
clerk	店員
click	クリック
client	クライアント
clinic	診療所
clip	クリップ
closet	クローゼット
closure	閉鎖
cloth	布
cloudy	曇りました
clue	手がかり
collaboration	コラボレーション
collector	コレクタ
colorful	カラフル
comb	櫛
comfortably	楽に
commerce	商業
commonly	一般に
commute	通います
commuter	コミューター
compact	コンパクト
compartment	区画
compatible	コンパチブル
compensate	補います
compile	コンパイル
completion	完了
compliance	コンプライアンス
complication	複雑
compliment	お世辞
complimentary	無料
comply	応じます
comprehension	理解
concierge	コンシェルジュ
conditioner	コンディショナー
condominium	コンドミニアム
conductor	導体
conference	会議
confidential	機密
confirmation	確認
conform	従います
congestion	混雑
congratulate	祝います
congratulation	祝い
consecutive	連続的な
consent	同意
considerably	かなり
considerate	思いやりのあります
consignment	託送
consistently	一貫して
consultation	相談
consumption	消費
container	容器
contestant	競技者
continental	コンチネンタル
contraction	収縮
contractor	請負人
contradict	矛盾
contradiction	矛盾
contrary	反対
convenience	コンビニエンス
convenient	便利
conveniently	便利に
convey	伝える
cookbook	料理
cookie	クッキー
cooler	クーラー
cooperate	協力
coordinate	座標
coordinator	コーディネーター
copier	コピー機
copyright	著作権
cord	コード
cordless	コードレス
correction	補正
correctly	正し
correspondence	対応
cosmetic	化粧
costly	高価な
costume	コスチューム
counselor	カウンセラー
countryside	田舎
coupon	クーポン
courier	宅配便
courtesy	礼儀
coworker	同僚
crane	クレーン
creativity	創造性
criteria	基準
cruise	クルーズ
culinary	料理の
cumulative	累積的な
cushion	クッション
customize	カスタマイズ
daytime	昼間
deadline	締め切り
dealership	ディーラー
debit	借り方
deck	デッキ
decorate	飾る
decoration	デコレーション
dedication	献身
deduct	控除
deduction	控除
defect	欠陥
defective	欠陥のあります
definite	確か
delegate	代表
delete	削除
delicate	繊細
delicious	おいしい
deluxe	デラックス
demolish	DEMOLISH
dental	歯科用
dentist	歯科医
depart	出発
departmental	部門
departure	出発
dependable	信頼できます
dependence	依存
descriptive	わかりやすいです
designate	指名
desirable	望ましい
desktop	デスクトップ
desperate	やけくその
dessert	デザート
destination	先
detach	デタッチ
deteriorate	悪くなります
devastate	吹き荒れます
developer	デベロッパー
diagnose	診断
diagnostic	診断
diagram	ダイヤグラム
dial	ダイアル
diamond	ダイヤモンド
dine	お食事
diner	ダイナー
diploma	ディプロマ
directory	ディレクトリ
disable	無効にします
disagreement	不一致
disappointment	失望
discard	廃棄
disconnect	ディスコネクト
discontinue	中止します
discrepancy	不一致
disgust	嫌悪
dishwasher	食器洗い機
dislike	嫌い
dispatch	ディスパッチ
disposal	廃棄
dispose	廃棄
disrupt	混乱させる
disruption	混乱
dissatisfy	dissatisfy
distract	そらします
distraction	気晴らし
distractor	伸延器
distribution	分布
distributor	ディストリビューター
dive	飛び込む
dividend	配当
dock	ドック
documentary	ドキュメンタリー
documentation	ドキュメンテーション
donate	寄付
donation	寄付
donut	ドーナツ
doorman	ドアマン
dose	用量
download	ダウンロード
downsize	小型化
downstairs	階下
downtown	ダウンタウン
downturn	低迷
drastically	劇的
drawback	欠点
drawer	引き出し
drill	ドリル
