drought	干ばつ
drum	ドラム
dull	鈍い
duplicate	重複
durable	丈夫な
duration	期間
dynamic	動的
eager	熱心な
earthquake	地震
e-book	電子書籍
economical	経済
economically	経済的に
economist	エコノミスト
economize	節約します
editorial	社説
effectiveness	効果
efficiently	効率的に
electrical	電気
electrician	電気工
electronically	電子的に
elegant	エレガント
elephant	象
elevate	昇格
elevator	エレベーター
eligible	適格
embassy	大使館
embed	埋め込み
enclose	同封
energetic	エネルギッシュな
engagement	エンゲージメント
enjoyable	楽しい
enroll	登録ステム
enrollment	入会
enthusiasm	熱意
enthusiast	熱狂者
enthusiastic	熱心な
enthusiastically	熱狂的に
entrée	アントレ
entrepreneur	企業家
environmentally	環境
equip	装備
erase	消去
escalator	エスカレーター
escort	護衛
ethics	倫理
euro	ユーロ
evacuate	避難
evenly	均等に
evident	明らか
excellence	優秀
exceptional	異例
excessive	過大
exclusive	排他的
exclusively	排他的に
excursion	修学旅行
exemption	免除
exit	出口
exotic	エキゾチック
expedite	緊急
expertise	熟練
expiration	満了
expire	切れます
explanatory	説明的
explorer	冒険者
extinguisher	消火器
fabric	ファブリック
facilitate	容易にします
factual	事実の
faculty	学部
familiarity	親しみやすさ
familiarize	慣れます
fare	運賃
farewell	お別れ
fasten	留めます
fatigue	倦怠感
faulty	不完全
favorable	好ましい
fax	ファックス
feedback	フィードバック
ferry	フェリー
finalize	ファイナライズ
firefighter	消防士
firework	花火
fiscal	年度
fitness	フィットネス
fixture	フィクスチャ
flavor	味
flaw	欠点
fleet	艦隊
flexibility	柔軟性
flextime	フレックスタイム
flour	小麦粉
flu	インフルエンザ
fluctuate	が変動
fluent	流暢
flyer	チラシ
fog	霧
folder	フォルダ
footwear	履物
forbid	禁じます
foreman	フォアマン
fork	フォーク
formally	正式に
fortunately	幸運なことに
forum	フォーラム
foster	フォスター
founder	創業者
fountain	噴水
franchise	フランチャイズ
freelance	フリーランス
freight	貨物運送
freighter	貨物船
frustrate	挫折させます
fry	稚魚
fundraise	資金集め
furnish	ファーニッシュ
gallon	ガロン
garage	ガレージ
garbage	ごみ
gardener	植木屋
garment	衣服
gasoline	ガソリン
generalization	一般化
generator	発生器
generic	ジェネリック
generous	寛容な
genre	ジャンル
getaway	逃げる
glove	グローブ
goods	品
gossip	ゴシップ
graduation	卒業
gram	グラム
graph	グラフ
graphic	グラフィック
graphics	グラフィックス
grill	グリル
grocery	食料品
guidance	ガイダンス
gum	ガム
gym	ジム
gymnasium	ジム
habitual	常習
hacker	ハッカー
hallway	廊下
hamburger	ハンバーガー
handbook	ハンドブック
handy	ハンディ
hardware	ハードウェア
hardworking	勤勉な
harmful	有害
hazard	危険
hazardous	危険な
headache	頭痛
headphone	ヘッドホン
headquarter	本社
healthcare	健康管理
healthful	健康的な
heater	ヒータ
helmet	ヘルメット
hereby	ここに
hesitant	ためらいがちな
hesitation	躊躇
highway	高速道路
hike	ハイク
hiker	ハイカー
hobby	趣味
homeless	ホームレス
homemade	自家製
homeowner	家主
homework	宿題
honestly	正直
hospitality	ホスピタリティー
hotline	ホットライン
hourly	毎時
housekeep	housekeep
housekeeper	お手伝いさん
humidity	湿度
hungry	空腹の
hurricane	ハリケーン
hygiene	衛生
ice cream	アイスクリーム
icy	冷たいです
ideally	理想的には、
identification	識別
illogical	非論理的
immigration	移民
impact	影響
impatient	せっかち
imperative	命令
inappropriate	不適切
inclusive	包含的
incoming	入ってきます
incomplete	不完全な
inconvenience	不便
incur	被ります
indicator	インジケータ
indirect	間接の
individually	個々に
indoor	屋内
