sky	空
drag	引っ張る
statistics	統計
bench	ベンチ
surprising	驚くべき
might	かもしれません
purpose	目的
read	読んだ
spokesman	スポークスマン
salt	塩
stair	階段
rarely	めったにありません
her	彼女の
photo	写真
virtually	実際に
ceremony	儀式
stop	やめる
implement	インプリメント
sun	太陽
anniversary	記念日
leather	レザー
education	教育
obvious	明らか
pitch	ピッチ
pleasure	喜び
Christmas	クリスマス
cooperation	連携
attempt	試み
teenager	ティーンエイジャー
conviction	信念
expert	専門
sit	SIT
Bible	聖書
cold	コールド
incredible	信じられません
hill	丘
report	報告する
lost	失われました
relief	救済
question	質問
union	連合
commitment	コミットメント
headline	見出し
restaurant	飲食店
care	お手入れ
meaning	意味
border	境界
reduce	減らします
disability	身体障害
nevertheless	それにもかかわらず
sophisticated	洗練されました
salad	サラダ
valley	谷
daughter	娘
chest	胸
administration	行政
pursue	求めます
fishing	釣り
participation	参加
interpret	解釈
pile	パイル
miss	お嬢
remaining	残り
apparent	見かけ上
heaven	天国
worth	価値
compose	コン
American	アメリカン
background	バックグラウンド
ride	ライド
deny	否定します
scholar	学者
sudden	突然
collapse	崩壊
complete	コンプリート
something	何か
happen	起こります
lab	ラボ
retain	保ちます
regularly	定期的に
dark	闇
psychological	心理学的
dialogue	対話
annual	毎年の
lip	リップ
who	WHO
number	数
emission	放射
replace	置き換えます
radio	無線
solution	解決
everything	すべて
crazy	クレージー
protect	守ります
dominate	支配
past	過去
competitive	競争の
accomplish	成し遂げます
shall	条
account	アカウント
