earth	地球
fresh	新鮮な
used	中古
lock	ロック
nearly	ほとんど
found	ました
deficit	赤字
cover	カバー
product	製品
rush	ラッシュ
qualify	資格
insurance	保険
normal	正常
bowl	丼鉢
blind	ブラインド
mother	母
steady	安定しました
data	データ
calculate	計算
thinking	考え
sample	サンプル
executive	エグゼクティブ
gray	グレー
origin	原点
otherwise	さもないと
mount	マウント
adequate	十分な
gather	ギャザー
dismiss	退出させる
simple	シンプル
this	この
musician	音楽家
promote	プロモート
behavior	動作
stretch	ストレッチ
differently	異なっ
intense	激しいです
married	既婚
swim	泳ぐ
company	会社
Palestinian	パレスチナ
complicated	複雑
jury	陪審
divide	分割
employee	従業員
individual	個人
player	プレーヤー
debate	ディベート
measurement	測定
ourselves	自分自身
regarding	に対する
string	ストリング
risk	危険
childhood	子供時代
convert	変換
northern	北方
dead	デッド
persuade	言い聞かせる
wing	羽
sensitive	敏感
wide	ワイド
development	開発
visit	訪問
investigator	求道者
video	ビデオ
tooth	歯
evaluation	評価
enhance	強化
economic	経済の
ski	スキー
person	人
close	閉じる
twice	二回
summer	夏
telephone	電話
arrange	アレンジ
participate	参加します
normally	通常は
wedding	結婚式
voter	有権者
electronic	電子
occupation	職業
root	ルート
terrorism	テロ
catch	キャッチ
whom	誰
edge	縁
family	家族
participant	参加者
not	ではありません
parent	親
passion	情熱
across	横切って
weigh	量ります
dig	掘る
however	しかしながら
shower	シャワー
corporate	会社の
climate	気候
factor	因子
