three	三
dry	ドライ
bite	一口
king	キング
resolution	解決
gate	ゲート
fairly	かなり
sure	承知しました
beyond	超えて
protest	抗議
accuse	訴えます
occasion	時
corporation	株式会社
relative	相対的
portray	描写
constantly	絶えず
pattern	パターン
pick	ピック
wisdom	知恵
organize	整理
code	コード
cycle	サイクル
chef	シェフ
awareness	意識
energy	エネルギー
secret	秘密の
through	使って
ear	耳
depression	うつ病
sick	病気
speak	話します
wish	願い
phase	段階
museum	博物館
already	既に
heavily	ずっしり
taxpayer	納税者
install	インストール
occasionally	時には
status	状態
orange	オレンジ
reply	応答
discuss	話し合います
travel	トラベル
disaster	災害
eat	食べる
Mr	氏
salary	給料
invite	招待する
tired	疲れました
hi	こんにちは
biological	生物学
surprise	驚き
examine	診る
turn	順番
explanation	説明
Congress	会議
extra	エクストラ
dangerous	危険な
cook	クック
method	方法
adapt	適応する
whereas	一方、
initial	初期
recovery	回復
foot	足
ocean	海洋
state	状態
competitor	競合他社選手
girlfriend	ガールフレンド
Canadian	カナダの
deliver	届けます
impose	課す
red	赤
supposed	なっ
founder	創業者
still	やはり
implication	含意
living	生活
county	郡
apple	林檎
room	ルーム
seem	思われる
inflation	インフレーション
investor	投資家
ten	十
organization	組織
together	一緒
disappear	姿を消す
advantage	利点
air	空気
widespread	広範
exhibition	エキシビション
decision	決定
concept	概念
production	製造
patient	患者
exception	例外
struggle	闘い
range	範囲
