Leave it here.	ここに置いておいて。
This'll do.	これでもいいや。
I'm going to brush my teeth.	私は歯を磨いてきます。
Tom has never been in love.	トムはまだ恋をしたことがない。
The brake didn't work.	ブレーキがきかなかった。
Take whichever you want.	どっちでもいいから欲しいのを持って行って。
She made a new suit for him.	彼女は彼のために新しいスーツを作った。
I'll be fine.	大丈夫です。
Tom quit smoking.	トムは煙草をやめた。
Don't you worry about Tom?	トムのこと心配じゃないの？
Boil my eggs hard, please.	卵は固ゆでにして下さい。
They're nice guys.	気はいい連中です。
They cheered.	彼らは応援した。
Be yourself.	自分らしくあれ。
He was hit by a car.	彼は車にはねられた。
I can't wait to go to college.	早く大学生になりたいなあ。
She became very ill.	彼女は重い病気になった。
Stay in this room.	この部屋にいなさい。
He looks much better now.	今、彼はずっと調子がよいようだ。
Tom kicked Mary.	トムがメアリーを蹴った。
Forget him.	彼の事は忘れなさい。
Can I make a reservation?	予約はできますか。
Why are you so ugly?	お前なんでそんなブサイクなの？
This isn't the entrance.	ここは入口ではありません。
What is on the desk?	机の上に何がありますか。
It's fairly warm today.	今日は大分暖かいね。
I'm careful.	僕は注意深い。
Tom fell into the mud.	トムは泥沼にはまった。
Are you enjoying yourself?	楽しんでますか。
I love Christmas songs.	クリスマスソングが大好き。
Please explain it more simply.	もっと分かりやすく説明してよ。
He was innocent.	彼は無実だった。
Tell me what you want.	何が欲しいか言ってごらん。
I don't like her.	私は彼女が好きではない。
I should've stayed home.	家にいれば良かった。
Please look at me.	私を見てください。
We helped on the farm.	私たちは農作業を手伝いました。
Tom never talks about money.	トムは金の話を決してしない。
You're drinking out of my cup.	あなた、私のカップから飲んでますよ。
Do you know who made it?	誰が作ったか知ってる？
Do you like music?	音楽はお好きですか？
May I call around 2:30?	2時半くらいに電話していい？
I'm not angry.	怒ってませんよ。
She is dressed in white.	彼女は白い服を着ている。
He was scolded by his mother.	彼は母親に叱られた。
I'm a patient.	私は患者です。
I'd like to buy eye drops.	目薬をください。
Do you think you can come?	来れそう？
It's going to rain soon.	まもなく雨になるだろう。
I'll come right away.	すぐ参ります。
These shoes are hers.	この靴は彼女のものだ。
This school has many students.	この学校はたくさんの生徒がいます。
Tom shouted at Mary.	トムはメアリーを怒鳴りつけた。
You're right.	おっしゃる通りです。
Tom never drinks alcohol.	トムはアルコールを一切飲まない。
Could you wait a moment?	ちょっと待ってくれる？
They attained their goal.	彼らは目的を達成した。
The baby is fast asleep.	赤ちゃんはぐっすり寝ている。
Enjoy your holidays.	休日をお楽しみください。
We kept in touch.	私たちは連絡を取り合っていた。
Shall we go home?	家に帰りましょうか。
I envy Tom.	トムが羨ましいよ。
My brother is watching TV.	私の弟はテレビを見ている。
Don't waste your time.	時間を無駄にしてはいけない。
I will pick you up around six.	６時ごろ車で迎えに行きます。
I love this book.	この本が大好きです。
She tied him to the chair.	彼女は彼をいすに縛り付けた。
Yesterday was my birthday.	昨日は私の誕生日でした。
It is a moral question.	それは道徳上の問題だ。
Don't surprise me like that.	驚かせるなよ。
Tom apologized.	トムは謝った。
I checked it twice.	二度確認しました。
The leaves are turning red.	木の葉が赤く色づいてきている。
It was for Tom and Mary.	それはトムとメアリー宛てだった。
I like their pictures.	私は彼らの絵が好きです。
Who's your friend?	あなたの友達って誰？
They danced.	彼らは踊った。
Drink less and sleep more.	お酒を減らしてもっと睡眠を取らなきゃ。
That dog doesn't bite.	その犬はかみついたりしませんよ。
Tom made a decision.	トムは決心した。
Get out of bed.	起きなさい！
Do you have anything cheaper?	もっと安いのはありますか。
Charge this bill to me.	勘定は私に回してください。
The archer killed the deer.	射手は鹿を射た。
A glass of red wine, please.	グラスワインの赤をお願いします。
Tom hates Mary.	トムはメアリーを嫌っている。
Two doctors were talking shop.	二人の医者が医学の話をしていた。
She's wearing a cool hat.	彼女は素敵な帽子をかぶっている。
Please stop crying.	お願い、泣かないで。
The server is down again.	またサーバー落ちてる。
I don't sleep well.	よく眠れません。
I want to be here.	ここにいたいんです。
The bus stop is close by.	バス停はすぐそこにあります。
I was hardly prepared.	用意がほとんど出来ていなかった。
It's too late to apologize.	今さら謝っても遅いよ。
She raised her hand.	彼女は手を上げた。
It's instinct.	直感です。
May I borrow your dictionary?	辞書借りてもいい？
Don't tell lies.	うそを言うな。
Keep quiet.	静かにしていなさい。
