satisfactory	満足のいきます
sauna	サウナ
scarf	スカーフ
scenery	風景
scholarship	奨学金
sculpture	彫刻
seafood	シーフード
seaside	シーサイド
seasonal	季節的
sedan	セダン
seeker	シーカー
seldom	滅多
seller	売り手
semester	学期
seminar	セミナー
sender	送信者
separately	別々に
serial	シリアル
sew	縫う
sewer	下水道
sharply	鋭く
shipment	出荷
shopper	消費者
shortage	不足
shorten	短くします
shortly	まもなく
showroom	ショールーム
shuttle	シャトル
sidewalk	歩道
sightsee	観光を
signature	署名
signify	意味します
silently	静かに
similarity	相似
simplify	簡素化する
sincerely	心から
skate	スケート
skateboard	スケートボード
sketch	スケッチ
skim	スキム
sleepy	眠いです
sleeve	スリーブ
slot	スロット
smartphone	スマートフォン
smoothly	なめらかに
snack	スナック
snowy	雪の降ります
soap	石鹸
soar	舞い上がります
soccer	サッカー
sock	靴下
sofa	ソファー
solar	太陽
someday	何時か
sometime	いつか
soup	スープ
spa	スパ
spacious	広々とした
spam	スパム
specially	特別
specialty	専門
specification	仕様
spectator	観客
spill	溢流
spite	悪意
spokesperson	スポークスパーソン
spouse	配偶者
spray	噴射
spreadsheet	スプレッドシート
stack	スタック
stadium	スタジアム
staple	主食
stapler	ステープラー
stationery	文房具
statistics	統計
statue	立像
steadily	どんどん
steak	ステーキ
steer	ステア
stereo	ステレオ
sticker	ステッカー
stimulus	刺激
stockbroker	ストックブローカー
stockholder	株主
storeroom	納戸
strategic	戦略的
streamline	流線
strictly	厳密に
stripe	縞
submission	提出
subscribe	申し込む
subscriber	加入者
subscription	購読
subsidize	助成
substantially	実質的
subtract	引きます
suburb	郊外
subway	地下鉄
sue	訴える
suitcase	スーツケース
suite	スイート
sunny	晴れました
sunscreen	日焼け止め
sunshine	日光
superb	見事
superior	優れました
supermarket	スーパーマーケット
supervise	監督します
supervisor	監督
surf	サーフ
suspicious	疑わしい
sweater	セーター
tablecloth	テーブルクロス
tablet	タブレット
tactic	タクティック
tag	鬼ごっこ
tailor	テーラー
takeover	買収
taker	受け手
tasty	おいしい
tech	ハイテク
technician	テクニシャン
teen	ティーン
telecommunication	テレコミュニケーション
teller	出納係
temporarily	仮に
tempt	そそります
tenant	テナント
terminal	ターミナル
terminate	終了
termination	終了
terrific	凄まじいです
textbook	教科書
theft	盗難
thirsty	喉が渇いた
thorough	綿密な
thoroughly	徹底的に
thrill	スリル
thunderstorm	雷雨
tidy	整頓
tile	タイル
timeline	タイムライン
timely	タイムリーな
timer	タイマー
timetable	時刻表
toiletry	トイレタリー
toll	通行料金
tomato	トマト
ton	トン
toner	トナー
tow	牽引
towel	タオル
trademark	商標
traditionally	伝統的に
trainee	研修生
trainer	トレーナー
transaction	トランザクション
transit	トランジット
translation	翻訳
translator	翻訳者
transmission	トランスミッション
transmit	送信
trash	ゴミ
traveler	旅行者
tray	トレイ
tremendous	凄まじいです
tropical	トロピカル
tuition	学費
tuna	ツナ
tunnel	トンネル
turnover	売上高
umbrella	傘
unattended	無人
unauthorize	無許可
unavailable	無効
uncomfortable	不快な
underground	地下
underline	下線
underway	進行中
unemployed	失業者
unexpected	予想外
unfamiliar	見知らぬ
unhappy	不幸
unlimited	無制限
unload	アンロード
unnecessary	不要
unpaid	未払い
unpleasant	不快
unplug	アンプラグ
unreal	非現実的な
unreliable	不確実
unspecified	不特定
unsure	わかりません
unused	未使用
unusually	異常
upcoming	来たる
upgrade	アップグレード
upstairs	二階
urgent	緊急
urgently	緊急に
usage	使用法
utility	ユーティリティ
vacancy	欠員
vacant	空いています
vacate	明け渡します
vacation	休暇
vacuum	真空
valid	妥当
validate	検証
vanilla	バニラ
vase	花瓶
vegetarian	ベジタリアン
vend	売ります
vendor	ベンダー
venue	会場
verbal	口頭
verify	確認
videoconference	ビデオ会議
violate	犯します
violation	違反
violin	バイオリン
visa	ビザ
vitamin	ビタミン
volleyball	バレーボール
voucher	伝票
waiter	ウェイター
waitress	ウェートレス
waive	放棄します
walkway	歩道
wallet	財布
ward	区
warehouse	倉庫
warranty	保証
webpage	ウェブページ
website	ウェブサイト
weekday	平日
wellness	ウェルネス
whale	鯨
wheelchair	車椅子
whoever	誰でも
wildlife	野生動物
willingness	意欲
windy	風の吹きます
wireless	無線
wisely	賢く
withdrawal	撤退
wool	ウール
workbook	ワークブック
workforce	労働力
workplace	職場
workshop	工房
worldwide	世界的に
worthwhile	やりがいのあります
wrinkle	皺
wristwatch	腕時計
yearly	毎年
yen	円
yoga	ヨガ
zoo	動物園
