You met him at the university?	あなたは大学で彼に会いましたか？
Aaah!! My computer is broken!	あー!!マイコンピュータが壊れています！
The private colleges and universities of the United States are autonomous.	米国の私立大学が自律的です。
Every time I join a new game of Warcraft, I am pitted against a new team of adversaries.	私はof Warcraftの新しいゲームに参加するたびに、私は敵の新しいチームと対戦しています。
From the moment that I knew that the university existed, I've wanted to go there.	私は大学が存在していたことを知っていたその瞬間から、私はそこに行きたいと思っていました。
My apathy for voting comes from my distaste for politics.	投票のための私の無関心は、政治のための私の嫌悪感から来ています。
The ascendancy of monarchs is what keeps their subjects from rebellion.	君主の優勢が反乱からそれぞれの科目を保持するものです。
Sarah was discerning enough to realize that her friends were trying to prank her.	サラは彼女の友人が彼女をいたずらしようとしていたことを実現するのに十分な目の肥えました。
The orchestra makes discordant noises when tuning up.	アップチューニングするときオーケストラは不調和音を作ります。
The discrepancy between the stories of the two parties involved in the accident was so great that the authorities had a hard time deciding which side was telling the truth.	事故に関与する2人の当事者の話の間に不一致が当局が真実を語った側決める苦労していたほど大きかったです。
Yes, it happens from time to time.	はい、それは時々起こります。
I have a great fear of being disdained by those I love and care about.	私は約それらのI愛とケアによって軽蔑されているの偉大な恐怖を持っています。
Most people have a great disinclination to get out of bed early, even if they have to.	ほとんどの人は、彼らが持っている場合でも、早期にベッドから出るのは素晴らしいディスクリネーションを持っています。
Most people only want to hear their own truth.	ほとんどの人は、自分の真実を聞きたいです。
The audience acclaimed the actors for their performance.	観客は、彼らのパフォーマンスのために俳優を絶賛しました。
It is good to have ideals... don't you think?	それは理想を持つことは良いです...あなたは思いませんか？
The student decided to abridge his paper by taking out unnecessary details.	学生は、不必要な詳細情報を取り出すことによって、彼の論文を縮めることにしました。
People in the world are always advocating for more freedom and equality.	世界の人々は、常により多くの自由と平等のために提唱されています。
Politicians are always censured for outrageous or inappropriate behavior.	政治家は常にとんでもないまたは不適切な行動のために非難されています。
Ms. Eichler had a notorious reputation for being austere to her students.	さんアイヒラーは彼女の学生に厳格なことで有名評判がありました。
If you don't listen to us, we will have to resort to coercion.	あなたは私たちに聞いていない場合、我々は強制に頼る必要があります。
When I have migraines, aspirin doesn't alleviate the pain for me.	私は偏頭痛を持っている場合は、アスピリンは私のために痛みを軽減しません。
Spenser's sarcastic and joking remarks are often misinterpreted as signs of ambivalence and often taken too seriously.	スペンサーの皮肉や冗談の発言は、多くの場合、アンビバレンスの兆候と誤解し、多くの場合、あまりにも真剣に受け止めています。
My mother prefers the arbitrary selection of the lottery machines over my lucky numbers.	私の母は私のラッキー数字の上に抽選器の任意の選択を好みます。
To him, hunger was an abstract concept; he always had enough to eat.	彼にとって、飢餓は抽象的な概念でした。彼はいつも食べ物も十分ありました。
The convicted drug dealer was willing to comply with the authorities to have his death sentence reduced to a life sentence.	有罪判決を受けた麻薬ディーラーは、彼の死刑判決は終身刑に減少持つように当局に準拠して喜んでいました。
I consider the Jehovah's witnesses who knock on my door all the time to be no different from religious zealots trying to force their beliefs on me.	私は私に自分の信念を強制しようとしている宗教的狂信者と何ら変わりはないように私のドアの上のすべての時間をノックエホバの証人を検討してください。
The war on Iraq is a volatile subject of political debate; any wrong word and a heated argument could spark.	イラク戦争は政治的な議論の揮発性の主題です。間違った単語や加熱された引数は、スパークができます。
My next door neighbor is a virtuoso whose skills with the piano have earned him a name among music experts.	私の隣の隣人は、そのスキルをピアノで音楽の専門家の間で彼の名前を得てい名手です。
He was sick of being vilified all the time by people who were jealous of his ability.	彼は彼の能力の嫉妬だった人々によって、すべての時間をけなされているの病気でした。
Sven was so verbose that his friends resorted to calling him a chatterbox.	スヴェンはとても冗長彼の友人が彼におしゃべりを呼び出すに頼っていることでした。
Even people who don't believe in the Catholic church venerate the Pope as a symbolic leader.	でも、カトリック教会を信じていない人は、象徴的リーダーとして教皇を崇拝します。
Unsure of which suitor she wanted to marry, the princess vacillated, saying now one, now the other.	彼女は結婚したかった求婚者が不明で、王女は他の今、今1を言って、vacillated。
With the heirless king going crazy and royal family poisoned, the general of the army finally had his chance to usurp the throne.	狂気と王室は毒行くheirless王では、軍の一般的には、最終的に王位を奪うために彼の機会がありました。
The recent scandals involving altar boys and religious leaders have undermined the faith people have in the Church.	祭壇の男の子と宗教指導者を含む最近のスキャンダルは、人々が教会に持って信仰を弱体化しています。
