violence	暴力
virus	ウイルス
sing	歌う
perfectly	完全に
working	ワーキング
bus	バス
instrument	器械
resource	資源
hypothesis	仮説
tend	傾向があります
suffer	苦しみます
beauty	美しさ
cookie	クッキー
meal	食事
dimension	寸法
anyone	誰でも
sand	砂
French	フランス語
tube	チューブ
construct	構文
film	映画
couch	ソファー
mess	乱雑
confusion	錯乱
horse	うま
curriculum	カリキュラム
can	できる
tomato	トマト
unless	ない限り、
tragedy	悲劇
initially	当初、
rub	こする
stand	スタンド
program	プログラム
inside	内部
democratic	民主的な
passenger	旅客
unable	できません
Spanish	スペイン語
proof	証明
intervention	介入
distinction	区別
sauce	ソース
establish	設立する
launch	打ち上げ
destroy	破壊
increasingly	ますます
hospital	病院
particularly	特に
nose	鼻
adjustment	調整
definition	定義
Russian	ロシア
passage	通路
theater	劇場
foreign	外国の
although	であるが
special	特別
subject	主題
prosecutor	検察
soft	柔らかい
region	領域
attractive	魅力的
difficulty	困難
elect	次期
approve	認めます
eliminate	省きます
pause	休止
therapy	治療
numerous	数々
historical	歴史的
satellite	衛星
user	ユーザー
collect	コレクト
formula	式
profile	プロフィール
take	取る
advanced	高度
hell	地獄
pride	誇り
expect	期待します
attribute	属性
dress	ドレス
come	来ます
million	百万
path	道
hall	ホール
paint	ペイント
many	たくさんの
immigrant	移民
negative	負
everybody	皆
vote	投票
criteria	基準
send	送信
lesson	レッスン
agenda	議題
closely	密接に
certain	一定
expansion	拡張
