than	より
drink	ドリンク
ice	氷
slowly	ゆっくり
wage	工賃
any	どれか
maintenance	メンテナンス
missile	ミサイル
access	アクセス
ultimate	究極
explore	見る
garlic	ニンニク
legitimate	正当
wild	野生
increase	増加する
furniture	家具
material	素材
evaluate	評価します
apply	適用します
principal	主要な
healthy	元気
fully	十分
universal	ユニバーサル
enjoy	楽しい
Iraqi	イラク人
arm	腕
alone	一人で
internal	内部
communication	コミュニケーション
honor	名誉
specialist	スペシャリスト
expression	表現
good	良い
relax	リラックス
anybody	誰でも
kind	種類
crack	クラック
minority	少数
gene	遺伝子
tendency	傾向
kid	キッド
trip	トリップ
teacher	先生
plenty	豊富
possess	所有します
landscape	ランドスケープ
clean	掃除
giant	巨人
place	場所
chance	機会
see	見る
storage	ストレージ
mark	マーク
hurt	傷つける
clothing	衣類
skin	肌
equipment	装置
commander	指揮官
dog	犬
exist	が存在
measure	対策
immediately	直ちに
naked	裸
training	トレーニング
history	歴史
arrangement	配置
duty	関税
at	に
historian	歴史家
domestic	国内の
journalist	ジャーナリスト
job	ジョブ
equally	平等に
sister	シスター
series	シリーズ
anywhere	どこでも
frequently	しばしば
smooth	滑らか
sorry	ごめんなさい
beach	ビーチ
broken	壊れた
dramatic	劇的
decade	一昔
barely	かろうじて
type	タイプ
burn	燃やす
defense	防衛
nomination	指名
publication	出版
cable	ケーブル
confident	自信を持って
most	最も
laugh	笑い
kiss	接吻
illness	病気
pound	ポンド
section	セクション
extension	拡張
discipline	懲戒
bury	埋め込む
