Let's try something.	さんが何かを試してみましょう。
I have to go to sleep.	もう寝なくてはいけない。
Today is June 18th and it is Muiriel's birthday!	今日は6月18日であり、それはMuirielの誕生日です！
Muiriel is 20 now.	Muirielは今20です。
The password is "Muiriel".	パスワードは「Muiriel」です。
I will be back soon.	すぐ戻ります。
I'm at a loss for words.	私は言葉を失ってよ。
This is never going to end.	これが終了するつもりはありません。
I just don't know what to say.	私はちょうど言うことを知りません。
That was an evil bunny.	それは邪悪なバニーでした。
I was in the mountains.	私は山にいました。
Is it a recent picture?	それは、最近の絵か？
I don't know if I have the time.	私は時間があれば私は知りません。
Education in this world disappoints me.	この世界での教育が私を失望します。
You're in better shape than I am.	私よりあなたは良い形にしています。
You are in my way.	あなたは私の方法です。
This will cost €30.	これは€30の費用がかかります。
I make €100 a day.	私は€100日を作ります。
I may give up soon and just nap instead.	私はすぐにあきらめてだけではなく、昼寝があります。
It's because you don't want to be alone.	あなたは一人になりたくないからです。
That won't happen.	それは発生しません。
Sometimes he can be a strange guy.	時々、彼は奇妙な男することができます。
I'll do my best not to disturb your studying.	私はあなたの勉強を邪魔しないように全力を尽くします。
I can only wonder if this is the same for everyone else.	これは皆のために同じであれば、私は疑問に思うことができます。
I suppose it's different when you think about it over the long term.	私はあなたが長期的にはそれについて考えるとき、それは違うと仮定します。
I miss you.	あなたがいなくて寂しいです。
I'll call them tomorrow when I come back.	私は戻ってくるとき、私は明日それを呼ぶことにします。
I always liked mysterious characters more.	私はいつもより多くの神秘的な文字を言っています。
You should sleep.	寝るべきだ。
I'm going to go.	行きます。
I told them to send me another ticket.	私は私に別のチケットを送信することを伝えました。
You're so impatient with me.	あなたはとても私と一緒にせっかちです。
I can't live that kind of life.	私は人生のようなものを生きることはできません。
I once wanted to be an astrophysicist.	私はかつて天体物理学者になりたかったです。
I never liked biology.	私は生物学を言っていません。
The last person I told my idea to thought I was nuts.	最後の人は私がナッツだと思ったし、私の考えを語りました。
If the world weren't in the shape it is now, I could trust anyone.	世界はそれが今ある形でなかったら、私は誰を信頼できます。
It is unfortunately true.	それは残念ながら本当です。
They are too busy fighting against each other to care for common ideals.	彼らはお互いに対する戦闘が共通の理想の世話をするにはあまりにも忙しいです。
Most people think I'm crazy.	ほとんどの人は、私はクレイジーだと思います。
No I'm not; you are!	私はありませんよん。あなたは！
That's MY line!	それは私のラインです！
He's kicking me!	彼は私を蹴っています！
Are you sure?	本気ですか？
Then there is a problem...	そして、問題があります...
Oh, there's a butterfly!	ああ、蝶があります！
Hurry up.	急げ。
It doesn't surprise me.	それは私を驚かせることはありません。
For some reason I feel more alive at night.	何らかの理由で私は夜にもっと生きている感じ。
It depends on the context.	これは、文脈に依存します。
Are you freaking kidding me?!	ふざけるなよ？！
