abide	遵守
aboard	乗って
absent	不在の
absorb	吸収する
accent	アクセント
acceptance	受け入れ
accessible	アクセス
accessory	アクセサリー
acclaim	称賛
accommodate	収容します
accomplishment	完成
accordingly	それに応じて
accountant	会計士
accumulate	累積
accuracy	正確さ
accurately	正しく
accustom	慣らす
activate	アクティブ
actively	積極的に
actress	女優
adapter	アダプタ
additionally	さらに
adhere	遵守する
adjacent	隣接
administer	ADMINISTER
administrative	行政の
administrator	管理者
admission	入場
advancement	アドバンス
advertiser	広告主
advisable	お勧め
advisor	顧問
advisory	顧問
affirmative	肯定的な
affordable	手頃な価格
afterward	その後
airfare	航空運賃
airplane	飛行機
airport	空港
aisle	通路
alert	警報
alike	共に
allergy	アレルギー
allocate	アロケート
alternate	代わりの
alternatively	或いは
amateur	アマチュア
ambassador	大使
ambitious	野心的な
amenity	快適さ
ample	十分な
amuse	楽しませます
anew	新たに
anniversary	記念日
announcer	アナウンサー
annoy	いらいらさせます
annually	毎年
antique	アンティーク
anyhow	どうせ
anytime	どんなときも
apology	謝罪
appendix	付録
appetizer	前菜
apple	林檎
appliance	器具
applicable	適用できます
applicant	申請者
appraisal	鑑定
appreciation	感謝
apprehensive	心配しています
apprentice	見習い
approximate	近似
arc	アーク
architect	建築家
architectural	建築
archive	アーカイブ
artistic	芸術的
asleep	眠っています
aspect	側面
assemble	組み立てる
assembly	アセンブリ
assignment	割り当て
assurance	保証
athletic	アスレチック
attain	達します
attendant	係員
attendee	出席者
attire	服装
attorney	代理人
auction	競売
audit	監査
audition	オーディション
auditor	監査役
auditorium	講堂
authentic	オーセンティック
authority	権限
authorization	認定
authorize	AUTHORIZE
auto	オート
automate	自動化
automatic	オートマチック
automobile	自動車
automotive	自動車
availability	可用性
await	待つ
backpack	バックパック
bacteria	細菌
badge	バッジ
baggage	荷物
bake	焼く
baker	パン屋さん
bakery	ベーカリー
balcony	バルコニー
balloon	バルーン
ballroom	宴会場
banker	バンカー
bankrupt	破産
bankruptcy	倒産
banquet	バンケット
barbecue	バーベキュー
bargain	バーゲン
baseball	野球
basement	地下
basket	バスケット
basketball	バスケットボール
bathroom	バスルーム
battery	電池
bean	豆
beforehand	予め
beginner	初心者
behalf	代わっ
bench	ベンチ
beneficial	有益
beverage	飲み物
bicycle	自転車
biography	バイオグラフィー
biology	生物学
birthday	お誕生日
blanket	毛布
blueprint	設計図
boardroom	会議室
bonus	ボーナス
bookcase	本棚
booklet	冊子
bookstore	本屋
booth	ブース
born	生まれ
bound	バウンド
brainstorm	ブレインストーミング
brake	ブレーキ
briefcase	ブリーフケース
broaden	広げる
brochure	パンフレット
broker	ブローカ
broom	帚
browse	ブラウズ
buffet	ビュッフェ
bug	バグ
bulb	バルブ
bulk	かさ
bulletin	会報
businessman	ビジネスマン
businessperson	事業者
butter	バター
bye	バイ
by-law	条例
cab	タクシー
cabin	キャビン
cabinet	戸棚
cafe	カフェ
cafeteria	カフェテリア
cage	ケージ
calculation	計算
calculator	電卓
calendar	カレンダー
caller	呼び出し側
campus	キャンパス
cancellation	取り消し
candidate	候補者
candy	キャンディー
captain	キャプテン
careless	不注意な
cargo	貨物
carpenter	大工
carrier	キャリアー
cart	カート
carton	カートン
cartridge	カートリッジ
cashier	レジ
casual	カジュアル
cater	応えます
caterer	仕出し屋
caution	注意
cautious	慎重
ceiling	天井
celebrity	有名人
cellphone	携帯電話
centimeter	センチメートル
certificate	証明書
certification	認証
