serious	深刻
entirely	全く
side	側
violent	激しいです
expectation	期待
mission	ミッション
indication	表示
tough	タフ
contrast	コントラスト
necessarily	必ずしも
painter	画家
holy	聖なる
revolution	革命
yell	エール
temperature	温度
talent	才能
build	ビルド
country	国
reform	改革
quality	品質
flower	花
usual	一般
discussion	討論
potato	じゃがいも
growing	成長
prospect	見込み
publicly	公に
meat	肉
fun	遊び
highlight	ハイライト
killing	殺害
situation	状況
time	時間
race	人種
reflect	反射する
total	トータル
bank	バンク
address	住所
withdraw	取り下げます
moral	道徳の
potential	潜在的な
increasing	増加
head	頭
ad	広告
idea	考え
us	我ら
feel	感じます
pretend	偽ります
relatively	比較的に
imply	暗示
loan	ローン
master	主人
memory	メモリ
choose	選択
shape	形状
translate	訳します
previously	以前に
ensure	確保
hour	時間
classroom	教室
circle	サークル
freedom	自由
priest	祭司
container	容器
careful	注意深いです
proceed	進みます
thus	こうして
column	カラム
release	解除
equal	等しい
lovely	愛らしいです
assignment	割り当て
ready	準備ができて
propose	提案します
deputy	副
concert	コンサート
Catholic	カソリック
distant	遠く
wire	ワイヤー
interview	インタビュー
coverage	カバレッジ
vast	莫大
sight	視力
sugar	シュガー
deserve	値する
stuff	スタッフ
chain	鎖
conversation	会話
joint	ジョイント
agree	一致します
all	すべて
storm	嵐
try	試します
context	環境
cost	費用
since	から
move	動き
tobacco	タバコ
horizon	地平線
grand	壮大な
