large	大
opposition	反対
territory	地域
conclude	結論
proposal	提案
consumer	消費者
swing	スイング
boat	ボート
jail	刑務所
yellow	黄
personal	個人的な
somewhere	何処か
online	オンライン
sin	罪
scientist	科学者
score	スコア
woman	女性
group	グループ
friendly	優しいです
brown	褐色
afford	与えます
entire	全体
unfortunately	不運にも
fix	修正
fail	不合格
cast	キャスト
recommendation	勧告
scared	おびえました
pot	ポット
arrive	着きます
university	大学
fitness	フィットネス
reaction	反応
scope	範囲
island	島
television	テレビ
store	お店
rely	頼ります
plastic	プラスチック
controversy	論争
basket	バスケット
social	ソーシャル
table	テーブル
Democrat	民主党員
half	ハーフ
powder	パウダー
representation	表現
highly	高度に
popular	人気のあります
lawyer	弁護士
girl	女の子
vision	ビジョン
overcome	打ち勝ちます
income	所得
bomb	爆弾
youth	若者
addition	添加
fence	フェンス
even	さえ
subsequent	後の
flavor	味
sector	セクタ
shut	シャット
inner	インナー
assist	支援する
sound	音
campus	キャンパス
success	成功
rural	農村
realize	気付く
heat	熱
crash	クラッシュ
another	別の
man	おとこ
significantly	大幅に
center	センター
exhibit	示す
permit	許可
plane	飛行機
including	含みます
die	死にます
Mrs	夫人
emerge	出てきます
objective	目的
reinforce	強化する
bar	バー
victim	犠牲者
feeling	感じ
appearance	外観
lap	ラップ
identification	識別
kick	キック
currently	現在
dare	挑戦
scientific	科学的
properly	正しく
elsewhere	他の場所
fruit	フルーツ
orientation	オリエンテーション
various	諸
