glove	グローブ
electric	電気の
jacket	ジャケット
grave	墓
variation	変化
historic	歴史的
breath	呼吸
coat	コート
alliance	アライアンス
yet	未だ
balance	残高
designer	デザイナー
emergency	緊急
stress	ストレス
enemy	敵
greatest	最高の
complex	繁雑
lift	リフト
core	芯
book	本
information	情報
medium	中
gender	性別
violation	違反
recommend	推薦します
note	注意
threat	脅威
institution	施設
British	イギリス人
rhythm	リズム
cultural	文化的
battery	電池
shelter	シェルター
contribution	貢献
obviously	明らかに
heel	ヒール
extremely	極めて
brick	煉瓦
occupy	占める
influence	影響
soil	土
suddenly	突然
admission	入場
surprised	驚きました
rare	レア
fade	フェード
pie	パイ
enable	有効
brother	兄
east	東
writer	ライター
rose	ローズ
motion	モーション
latter	後者
directly	直接
open	開いた
top	上
certainly	もちろん
egg	卵
block	ブロック
communicate	コミュニケート
early	早いです
poetry	詩
staff	スタッフ
always	常に
vulnerable	脆弱
custom	カスタム
swear	誓う
conservative	保守的
happy	ハッピー
finish	仕上がり
listen	聴く
rating	格付け
narrow	狭い
demand	要求する
demonstration	デモンストレーション
experiment	実験
case	場合
mm-hmm	MM-HMM
confirm	確認
beginning	初め
quite	かなり
encourage	奨励します
myth	神話
trust	信頼
knife	ナイフ
FALSE	FALSE
confront	対面
else	そうしないと
appoint	任命します
odds	オッズ
AM	AM
fighting	戦い
term	期間
camera	カメラ
resident	居住者
suppose	思います
psychology	心理学
observation	観察
palm	手のひら
