Tom regained his balance.	トムはバランスを取り戻した。
Do whatever you can do.	何でもいいから自分ができることをしなさい。
It seems warm outside.	外は暖かいみたいです。
He goes to school by bicycle.	彼は自転車で通学する。
Tom is dying.	トムは死にかけている。
He's not cut out for teaching.	彼は教師に向いていない。
Hurry up.	急げ！
Does truth matter?	真実は重要なことであろうか。
I cannot afford to keep a car.	僕には車を持つ余裕がない。
Her English is excellent.	彼女の英語は素晴らしい。
You can't be serious.	本気のはずがないわ。
He's always been kind to me.	彼は昔から私には親切です。
What are you still doing here?	まだここにいて、何をやってるの？
Do you like this weather?	この天気が好きですか？
What are you thinking?	何考えてるの？
I'm at the airport now.	私は今空港にいます。
Tom leaned against the fence.	トムはフェンスにもたれかかった。
I'm used to working all night.	私は徹夜で働くのに慣れている。
I'm used to staying up late.	私は遅くまで起きているのに慣れている。
Anything else?	他に何かありますか。
The fire alarm sounded.	火災報知器が鳴った。
Try as hard as you can.	精一杯やってみなさい。
Let's have a ten-minute break.	１０分間、休憩をとりましょう。
Tom can swim well.	トムは泳ぐのが上手い。
He behaved like a madman.	彼は狂人のように振る舞った。
He took part in the race.	彼はレースに参加した。
Turn to the left.	左を向いてください。
She has good handwriting.	彼女は字が上手だ。
I arrived at school on time.	私は学校に時間どおりに着いた。
It isn't bad.	そう悪くはない。
There was nobody there.	誰もいませんでした。
Is this a duty-free shop?	ここは免税店ですか。
The boy is nice.	その少年は親切だ。
I can't believe it!	あり得ねぇー。
Is this seat free?	この席空いてますか？
Tom went on a trip.	トムは旅行に行った。
Japan is an island country.	日本は島国だ。
When was she born?	彼女はいつ生まれたのですか。
Tom isn't sleeping.	トムは寝ていない。
How long will you stay here?	あなたはここにどのくらいの間滞在するのですか。
I caught the flu.	インフルエンザにかかりました。
He jumped over the hedge.	彼は垣根を飛び越えた。
I prefer reading to writing.	私は物を書くことより、読むことの方が好きです。
I'm healthy.	私は体は健康です。
I heard a scream.	叫び声が聞こえた。
I trust him completely.	私は彼を全面的に信頼している。
I tried not to cry today.	今日は泣かないつもりだったのに。
I like tennis.	テニスが好きです。
That settles it.	これで決まりだ。
Well then, I'll have chicken.	それじゃ、僕はチキンをもらいましょう。
Do you dream in French?	フランス語で夢を見ますか？
Pass the sugar, please.	お砂糖を取って下さい。
I don't remember.	覚えていないんだ。
Tom likes hot curry.	トムは辛いカレーが好きだ。
Tom is probably asleep.	トムは多分眠っている。
She went shopping.	彼女は買い物に行った。
When will I get my car back?	車はいつ戻ってきますか？
It's fun to play tennis.	テニスをするのはおもしろい。
The problem isn't settled yet.	その問題はまだ解決されていない。
I like French food very much.	フランス料理は私の甚だ好む所だ。
Am I on the wrong road?	道間違えたかな？
Tom offered Mary a chair.	トムはメアリーに椅子を勧めた。
She's an admirable woman.	彼女は称賛に値する女性だ。
You dropped your pencil.	鉛筆を落としましたよ。
He stammered out a few words.	彼は口ごもりながら二言三言しゃべった。
The buds began to open.	つぼみがほころび始めた。
I want to sleep.	眠りたいんだ。
He came first.	彼が最初に来た。
He handed in his paper.	彼は答案を提出した。
I'm in charge.	担当は私です。
Finding his office was easy.	彼の会社は簡単に見つかった。
She put in for a raise.	彼女は昇給を願い出た。
What is his wife like?	彼の奥さんはどんな人？
Get a hold of yourself.	ちょっと落ち着け。
Are you able to speak French?	フランス語はできますか？
I don't know where he went.	彼がどこへ行ったか知らない。
I think Tom is lying.	トムは嘘をついていると思う。
Where were you?	どこにいたの？
You ran a red light.	君は赤信号を無視して走りましたね。
Tom made a speech.	トムは演説した。
We understand.	分かる。
You can call me any time.	いつでもご連絡ください。
Don't forget your ice skates.	スケート靴を忘れないでね。
Do as you're told to do.	言われた通りにしなさい。
I feel better today.	今日は気分が良い。
He sells fruit.	彼は果物を売る。
I can swim.	私は泳ぐことが出来ます。
He would not take the money.	彼は金を受け取ろうとはしなかった。
Tom swims very fast.	トムはとても早く泳ぐ。
He was cross with his student.	彼は自分の生徒に腹を立てた。
Let me die.	死なせてくれ。
She bit into the apple.	彼女はリンゴをがぶりとかじった。
There is a cat under the bed.	ベッドの下に猫がいる。
Tom is liked by everybody.	トムはみんなから好かれている。
It is time to go to bed.	もう寝る時間だぞ。
He shook hands with me.	彼は私と握手した。
Tom loves fishing.	トムは釣りに行くのが大好きだ。
She gave him his first kiss.	彼女が彼のファーストキスの相手だった。
Can I pay with a credit card?	支払いにカードは使えますか？
They refused.	彼らは断った。
