transfer	転送
fuel	燃料
stir	攪拌
attention	注意
topic	トピック
government	政府
commission	手数料
react	反応します
each	各
exciting	エキサイティング
package	パッケージ
interesting	面白い
capacity	容量
usually	通常
function	関数
motivation	動機
music	音楽
employment	雇用
instead	その代わり
terrible	ひどいです
abuse	乱用
personality	人
audience	聴衆
odd	奇妙な
justice	正義
boom	ブーム
protein	タンパク質
enormous	莫大
row	行
phrase	句
himself	彼自身
focus	フォーカス
damage	ダメージ
gear	装備
star	星
ability	能力
war	戦争
tell	伝えます
attitude	姿勢
observe	観察する
allow	許します
Supreme	最高
milk	牛乳
clear	晴れ
hello	こんにちは
train	列車
temporary	一時的
simply	単に
old	古い
car	車
wife	妻
farm	ファーム
grass	草
cotton	コットン
hardly	漸く
stroke	脳卒中
owe	負います
which	これ
fish	魚
carry	運ぶ
rich	リッチ
light	光
ingredient	成分
independent	独立の
personally	自ら
attach	アタッチ
repeatedly	繰り返し
consequence	結果
opportunity	機会
appropriate	適切な
direct	直接
least	最低
weather	天気
active	アクティブ
you	君は
career	キャリア
sad	悲しい
key	キー
fantasy	ファンタジー
find	見つけます
look	外観
sir	お客様
male	男性
screen	画面
oppose	反対します
terrorist	テロリスト
airport	空港
wooden	木製
great	すごい
intelligence	インテリジェンス
wear	着る
breathe	息をします
lung	肺
tap	タップ
embrace	擁する
brief	ブリーフ
sea	海
explain	説明します
scene	シーン
priority	優先
